Title,All Pass,Status,Screening,Tracking,Sub Date,Sales,Active,Sub By,Sub To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Coverage,DVD,Logline,Notes,Festival,Screening,Priority I,Festival Wrap Up,Priority II,Bought By,Insert Coverage Text Here,Insert Script File Here,Insert Coverage File Here
jack,,Pre Produciton,,,04/21/2010,Affinity International,,Nat,,,Script,Psychological Thriller,,$20 Mil.,David Venable,Steve Murphy,,04/21/2010,John Cusack,Script,Coverage,,"A car crash victim falls for the brilliant doctor who ""rebuilds"" his amnesia-stricken mind -  as he slowly begins to realize that he's actually a serial killer.  
",,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,JACK - Cannes 2010.pdf,
"Open Road, the",,Completed,,,,Affinity International,,,,,,Dramedy,Michael Meredith,$10 Mil.,Michael Meredith,,"Charlie Mason, Justin Moore-Lewy, Michael Meredith, Jordan Foley, Laurie Foxx, David Schiff",,"Justin Timberlake, Jeff Bridges, Kate Mara",,,,"A father and son, both baseball players, repair their relationship while on a road trip. ","Saw footage and not at all encouraged or impressed. Cast is great but the film is a family re-uniting road movie. I think it is a wait and see for Toronto - SW
SW 25K (vid only)",,,,,,,,,
"Rabbit Hole, THe",,Post-Production,,,,Affinity International,,,,,,Drama,John Cameron Mitchell,$10 Mil.,David Lindsay-Abaire,,"Per Saari, Leslie Urdang, Dean Vanech, Gigi Pritzker",05/05/2010,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Tammy Blanchard",,,,Chronicles the lives of a happily married couple who struggle with grief following the tragic loss of their young son as they try to find their way in a life that has been forever changed,"To be tracked. Promo: emotional, too American and not multiplexes enough for cineart (Cineart) I was very moved and it made me want to see the film. I am very happy with what I saw. (MW)
",Cannes 2010,,,,,,,,
Shotgun Wedding,,Pre-Production,,,,Affinity International,,,,,,Comedy,Jay Chandreshkar,$15 Mil.,Jay Chandrasekhar,Steve Murphy,"Robert Rodriguez, Donald De Line",,"Sean Williams Scott, Anna Ferris (In discussion)",,Coverage,,"Pete Hill, 30, is an avowed bachelor who is philosophically against the institution of marriage.","1000 print US release guarantee (MW)
BLX 400
FR 800
IT 1M
SW nop - GER 1.2M 
SCAN - 400K
LA 900
PORT 150
INDO 100
ME - gulf / jaguar",,,,,,,###############################################################################################################################################################################################################################################################,,
Triple Dog,,Complete ,,,,Affinity International,,,,,,Thriller,Pascal Franchot ,$5 Mil.,Barbara Marshall,,"Thomas L. Carter, R.D. Robb, Mike Jackson",,"Brittany Robertson (Mother & Child, Cherry, WB’s Life Unexpected –lead);  Scout Taylor-Compton (Love Ranch, The Runaways, An American Crime); Julie Maxwell (Death & Life of Charlie St. Cloud, Hot Tub Time Machine) ",,,,###############################################################################################################################################################################################################################################################,LA 100k (all rights),,,,,,,,,
burning man,,In Development,,,04/19/2010,Archer Street Productions,,,,,,Drama,Jonathan Teplitzky,,Jonathan Teplitzky,steve,"Jonathan Teplitzky, Andy Paterson",04/19/2010,,,Coverage,,,,,,,,,,###############################################################################################################################################################################################################################################################,,burningman.doc
Arcadia Lost,,Post-Production,,,,Archstone Distribution,,,,,,Drama,Phedon Papamichael ,$2 Mil.,David Ariniello,,"David Ariniello, Kelly Thomas",05/02/2010,"Nick Nolte, Haley Bennett, Carter Jenkins, Lachlan Buchanan",,,,The story of two teenagers stranded in rural Greece after a car wreck.,,Cannes 2010,,,,,,,,
"All of It, THE",,Pre-Production,,,,Arclight,,,,,,Adaptation Drama,Gillian Armstrong,,"Lewis John Carlino, Jeannette Haien",Tracy Park,"Robin Gurland, Norman Stephens, David Skinner",,"Liam Neeson, Ciaran Hinds",,Coverage,,###############################################################################################################################################################################################################################################################,"BLX: 250K
FR: 500K
IT: 400K
SCAN: 350K
INDO: 30K
PORT: 60K
A/N: 300K
ME: 75K
UK 1M
OZ 300k",,,,,,,###############################################################################################################################################################################################################################################################,,
"Chase, The",,Pre-Production,,,,Arclight,,,,,,Action,John McTiernan,$20 Mil.,Scott Reynolds,,"Gary Hamilton, Miek Gabrawy",05/05/2010,,,,,###############################################################################################################################################################################################################################################################,"Maybe good for video for SCANDI (MW)
",Cannes 2010,,,,,,,,
"Courier, the",,Pre-Production,,,,Arclight,,,,,,Action Thriller,Hany Abu-Assad ,$16 Mil.,"Derek Haas, Michael Brandt",Greg Castilo,"Vince Newman, Tucker Tooley, Gary Hamilton, Mike Gabrawy",05/05/2010,Jeffrey Dean Morgan ,Script,Coverage,,"A daredeveil courier, the one man who's never missed a drop, takes on a delivery to the King of the Underworld, the one who's never been found.","UK 1.5Mil, FR 1.5Mil, IT 1.3Mil, BLX 400K, AUS/NZ 400K",Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,
